,order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,address
0,1477147,337525,Hangawi,Korean,30.75,Weekend,Not given,25,20,"Hangawi, 12, East 32nd Street, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10016, United States"
1,1477685,358141,Blue Ribbon Sushi Izakaya,Japanese,12.08,Weekend,Not given,25,23,
2,1477070,66393,Cafe Habana,Mexican,12.23,Weekday,5,23,28,"Cafe Habana, Calle 52 Este, Bella Vista, Panamá, Distrito Panamá, Panamá, 0823, Panamá"
3,1477334,106968,Blue Ribbon Fried Chicken,American,29.2,Weekend,3,25,15,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
4,1478249,76942,Dirty Bird to Go,American,11.59,Weekday,4,25,24,"Dirty Bird to Go, Chambers Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10007, United States"
5,1477224,147468,Tamarind TriBeCa,Indian,25.22,Weekday,3,20,24,"Tamarind, Franklin Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10005, United States"
6,1477894,157711,The Meatball Shop,Italian,6.07,Weekend,Not given,28,21,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
7,1477859,89574,Barbounia,Mediterranean,5.97,Weekday,3,33,30,"Barbounia, 250, Park Avenue South, Manhattan Community Board 5, Manhattan, New York County, City of New York, New York, 10003, United States"
8,1477174,121706,Anjappar Chettinad,Indian,16.44,Weekday,5,21,26,"Anjappar Chettinad, Eglinton Avenue East, Scarborough—Guildwood, Scarborough, Toronto, Golden Horseshoe, Ontario, M1J 2G4, Canada"
9,1477311,39705,Bukhara Grill,Indian,7.18,Weekday,5,29,26,"Bukhara Grill, 2241, Bloor Street West, Swansea, Parkdale—High Park, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6S, Canada"
10,1477895,143926,Big Wong Restaurant _¤¾Ñ¼,Chinese,5.92,Weekday,Not given,34,28,"Big Wong, 135, North 5th Street, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States"
11,1478437,221206,Empanada Mama (closed),Mexican,8.1,Weekend,5,23,22,
12,1476966,129969,Blue Ribbon Fried Chicken,American,24.3,Weekend,5,23,17,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
13,1477449,104548,Pylos,Mediterranean,11.3,Weekend,3,24,23,"Πύλος, Δήμος Πύλου - Νέστορος, Περιφερειακή Ενότητα Μεσσηνίας, Περιφέρεια Πελοποννήσου, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 240 01, Ελλάς"
14,1478198,62667,Lucky's Famous Burgers,American,12.13,Weekday,Not given,23,30,"Lucky's Famous Burgers, 147, East Houston Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
15,1477414,66222,Shake Shack,American,16.2,Weekend,5,33,25,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
16,1477486,104555,Sushi of Gari,Japanese,16.98,Weekend,Not given,30,16,"Sushi of Gari, 402, East 78th Street, Manhattan Community Board 8, Manhattan, New York County, City of New York, New York, 10075, United States"
17,1477373,139885,Blue Ribbon Sushi Izakaya,Japanese,33.03,Weekend,Not given,21,22,
18,1477138,47280,RedFarm Hudson,Chinese,14.12,Weekend,4,25,24,"RedFarm, 529, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States"
19,1477354,67487,Blue Ribbon Sushi,Japanese,16.2,Weekend,4,35,26,"Blue Ribbon Sushi, 1st Street, The Grove, Fairfax, Los Angeles, Los Angeles County, CAL Fire Southern Region, California, 90036, United States"
20,1478296,250494,Five Guys Burgers and Fries,American,24.2,Weekend,4,21,24,"Five Guys, York Place, Seven Dials, Covent Garden, City of Westminster, Greater London, England, WC2N 5LH, United Kingdom"
21,1478226,137565,Shake Shack,American,15.91,Weekend,Not given,25,20,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
22,1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
23,1478014,54630,Tortaria,Mexican,8.92,Weekend,Not given,33,16,"Tortaría, 94, University Place, Washington Square Village, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10003, United States"
24,1476714,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,Not given,32,29,"Cafe Mogador, 133, Wythe Avenue, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States"
25,1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,"Cafe Mogador, 133, Wythe Avenue, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States"
26,1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
27,1476844,175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,Not given,24,16,
28,1477015,76686,Vezzo Thin Crust Pizza,Italian,9.17,Weekend,Not given,21,24,
29,1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29,"Sushi of Gari, 347, West 46th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10036, United States"
30,1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,"The Kati Roll Company, 24, Poland Street, Soho, Islington, London, Greater London, England, W1F 8QL, United Kingdom"
31,1477699,302790,Klong,Thai,29.05,Weekend,5,35,24,"Klong, Ngambé-Tikar, Mbam-et-Kim, Centre, Cameroun"
32,1476855,317794,5 Napkin Burger,American,8.39,Weekday,Not given,35,24,"5 Napkin Burger, 211, Market Street, Westchester Ridge Hill, City of Yonkers, Westchester County, New York, 10710, United States"
33,1477748,105349,TAO,Japanese,9.12,Weekend,Not given,34,18,"曹县, 菏泽市, 山东省, 中国"
34,1478244,181782,Parm,Italian,29.1,Weekend,5,30,26,"پارم, دهستان عشرستاق, بخش یانه سر, شهرستان بهشهر, استان مازندران, ایران"
35,1478310,65224,Sushi Samba,Japanese,15.47,Weekend,Not given,32,26,"Sushi Samba, Los Olmos, La Pincoya, Huechuraba, Provincia de Santiago, Región Metropolitana de Santiago, 9362427, Chile"
36,1478017,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31,"Blue Ribbon Sushi, 1st Street, The Grove, Fairfax, Los Angeles, Los Angeles County, CAL Fire Southern Region, California, 90036, United States"
37,1476871,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
38,1477999,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32,
39,1476891,220693,Shake Shack,American,19.89,Weekend,Not given,27,19,"Shake Shack, 11228, Domain Drive, The Domain, Austin, Travis County, Texas, 78759, United States"
40,1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18,
41,1478143,337525,TAO,Japanese,33.22,Weekend,Not given,23,19,"曹县, 菏泽市, 山东省, 中国"
42,1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15,"RedFarm, 2170, Broadway, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States"
43,1477728,107909,Cafeteria,American,16.44,Weekend,Not given,33,22,"Cafétéria, 54, Boulevard Desgranges, Sceaux, Antony, Hauts-de-Seine, Île-de-France, France métropolitaine, 92330, France"
44,1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20,"Five Guys, York Place, Seven Dials, Covent Garden, City of Westminster, Greater London, England, WC2N 5LH, United Kingdom"
45,1476581,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23,"The Meatball Shop, 84, Stanton Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
46,1476930,198802,DuMont Burger,American,29.05,Weekend,5,22,30,"DuMont burger, 314, Bedford Avenue, Williamsburg, Brooklyn, Kings County, City of New York, New York, 11249, United States"
47,1477621,122864,Sarabeth's East,American,13.78,Weekend,4,34,24,"Sarabeth Jordan Boutique, 123, East Laurens Street, Laurens, Laurens County, South Carolina, 29360, United States"
48,1478354,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,Not given,27,24,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
49,1477251,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21,"Country Fried Chicken, George Street, Robinvale, Rural City of Swan Hill, Victoria, 3549, Australia"
50,1477656,300003,Bistango,Italian,21.88,Weekend,Not given,21,19,"Bistango Restaurant, Von Karman Avenue, Irvine Business Complex, Irvine, Orange County, CAL Fire Southern Region, California, 92714, United States"
51,1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
52,1477205,112036,TAO,Japanese,20.23,Weekend,5,22,20,"曹县, 菏泽市, 山东省, 中国"
53,1478107,73895,RedFarm Broadway,Chinese,29.1,Weekend,Not given,22,23,"RedFarm, 2170, Broadway, Upper West Side, Manhattan, New York County, City of New York, New York, 10023, United States"
54,1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29,"Jack's Wife Freda, Carmine Street, University Village, West Village, Manhattan, New York County, City of New York, New York, 10014, United States"
55,1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15,"Mamoun's Falafel, Northside Drive Northwest, Howell Station, Atlantic Station, Atlanta, Fulton County, Georgia, 30327, United States"
56,1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24,"Sushi of Gari, 347, West 46th Street, Manhattan Community Board 4, Manhattan, New York County, City of New York, New York, 10036, United States"
57,1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33,"RedFarm, 529, Hudson Street, Manhattan Community Board 2, Manhattan, New York County, City of New York, New York, 10014, United States"
58,1477243,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30,
59,1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28,"Blue Ribbon Fried Chicken, 28, East 1st Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10003, United States"
